name,gridid,sector,status_name,product_type,asset_type,logo_url
Sandglass,988,Finance,Active,Decentralised Borrowing & Lending,N/A,https://img.thegrid.id/upload/50845f3ad00ddc9e22d6ee1a6fb03db0298d000b965866ff2333fd0e9a86ea53.svg
Superteam,989,Community & Events,Active,Grants Platform,N/A,https://img.thegrid.id/upload/7bf9e4b1e65632e08ac776c0e07060a38f2fbab5150d9ef070d63fe01f38ba75.svg
Picasso,991,Blockchain Platforms,Active,L1,Governance,https://img.thegrid.id/harvest/e00f604e98914e364df9451eb792916d8fb64e4cf61403da1bd6d22e35b16d40.svg
Composable Finance,992,Infrastructure,Active,Cross-chain Infrastructure,N/A,https://img.thegrid.id/upload/7e29b703fcd8411a0a0a9e390849d1f241919f9eac80bc31af2c31eb1d5d7486.svg
Jito,993,Infrastructure,Active,Developer Tooling,"Governance, -",https://img.thegrid.id/upload/a7b325d29b439a72c3eba99d433f94cca4736353066ebc8564d7f82572481091.svg
QuickNode,995,Developer Tooling,Active,"RPC Provider, Developer Tooling",N/A,https://img.thegrid.id/harvest/d45a0cd507d66f170d75c2398a6ec53a4195aafcb3ce439d408abe84016ca0df.png
AgriDex,996,Finance,Announced,RWA Tokenisation Platform,Governance,https://img.thegrid.id/upload/3eb136478fb09be9a41d92243889d6503be7b0084ef6222ca4f18c5dd3c10364.svg
ZkAGI,997,Developer Tooling,Announced,L2,Utility,https://img.thegrid.id/upload/3d42e85aa3b4beedf4e4074c6cad50d7871bad9797f0fff25bffa0955775393c.svg
Code,998,Payments,Active,Wallet,N/A,https://img.thegrid.id/upload/809d5fd5befa68dd2459672d78da134520e45fdcb9bd164e6b682a295e93d1f0.svg
io.net,999,Infrastructure,Active,DePin,Utility,https://img.thegrid.id/upload/cf33805c1e88ee5e29d835383016dbabdcedce5521ebed2369edd2202cbf35b6.svg
Chainalysis,1001,Data & Analytics,Active,OnChain Data API,N/A,https://img.thegrid.id/harvest/ed250e855f811d666c5fe7476cdadca3063ef6b9f9aa7aaad5123aaebbea317c.png
SOLSTORM,1002,Finance,Active,Launch Pad,Utility,https://img.thegrid.id/upload/fd808134c1e090796ecf294f4b9f3b6388ff9037c04e2ab9311f384b66d1e479.svg
Rain.fi,1003,Finance,Active,Decentralised Borrowing & Lending,Digital Reward Assets,https://img.thegrid.id/upload/9cd90be0c4dc7cc468ecf250eea00e84ea73a6588771b3b3b5edd5fa0673d260.svg
PayPal,1004,Payments,Active,N/A,Stablecoin,https://img.thegrid.id/harvest/d8e80a9ef76058165efcca7e60c3d68cba62d9dd2a80479d7178ff8d896ae8b8.png
Pump.fun,1005,Finance,Active,Launch Pad,N/A,https://img.thegrid.id/upload/54a252e8364da458aa4c0c84f83dbf58636d6694ceed823d04409d67f659c8ec.svg
Kado,1006,Payments,Active,On/Off Ramp,N/A,https://img.thegrid.id/harvest/7a6ed1b57250ba09f38288fd703d56b73f564bd46bd1ae8d1274731ad71f2bdd.png
The Grid,1007,Data & Analytics,Active,Data,N/A,https://img.thegrid.id/upload/14e32a7f199cd38e02cdfb159e8359c723bbbe21cf13a8edd8987f75655240c7.svg
Cielo,1042,Data & Analytics,Active,Digital Assets Terminal,N/A,https://img.thegrid.id/upload/1e893eb6e5d41b44ab49d8b6b70309bc862c4d915a07a3403e4b34311799e945.svg
Dynamic,1075,Developer Tooling,Active,Custody Technology Provider,N/A,https://img.thegrid.id/upload/373c1f95673e2add903505321fb189c50542cf9347d8e5fc3a8a04d9ec1c66f5.svg
Privy,1082,Asset Management,Active,Custody Technology Provider,N/A,https://img.thegrid.id/upload/47521424286ef54131dcfa69114e65812a52a13278083e0bf57fe64d1d1732a0.svg
Relay,1083,Infrastructure,Active,Cross-chain Infrastructure,N/A,https://img.thegrid.id/upload/7b6d233ec5bf8080d81c8abddf2a46f0c642bf0fb7ffad61c717da873125f96c.svg
