name,gridid,sector,product_type,deployment_type,product_ids,url,admin_url,has_main_product,logo_url
Ethena,1294,Payments,Stablecoin Issuance,Supported,22,https://explorer.thegrid.id/profiles/Ethena,https://data.thegrid.id/app/dashboard#profile=1294,Yes,https://img.thegrid.id/upload/fea6d855ea8bd8ef2895bc70f3f7145723762cc73608f81aa7e608762ce56cdf.png
Hedgehog Markets,1296,Finance,Prediction Markets,Deployed,22,https://explorer.thegrid.id/profiles/hedgehog,https://data.thegrid.id/app/dashboard#profile=1296,Yes,https://img.thegrid.id/upload/80f34a143a845157d45905d1a4029acc1691155e9ac14408fd7b4893b610b444.svg
stabble,1297,Finance,Decentralised Exchange,Deployed,22,https://explorer.thegrid.id/profiles/stabble,https://data.thegrid.id/app/dashboard#profile=1297,Yes,https://img.thegrid.id/upload/a1f9271f61e61c911e2d35e23f25cee1b11c9e880e93b3942fa100094fb3ef46.png
MetaKeep,1298,Asset Management,Custody Technology Provider,Supported,22,https://explorer.thegrid.id/profiles/MetaKeep,https://data.thegrid.id/app/dashboard#profile=1298,Yes,https://img.thegrid.id/harvest/ce656729bf782b2efe7f39beb892c9691f1a77b698ea589ac7eebe1aa84a43d5.png
Coinflow,1299,Payments,Payments Infrastructure,Supported,22,https://explorer.thegrid.id/profiles/Coinflow,https://data.thegrid.id/app/dashboard#profile=1299,Yes,https://img.thegrid.id/harvest/207617fc1f09d95439b41b986bb284eb78cd1aa0c6bd3a44b6b0037c80e24c29.png
Ensofi,1300,Finance,Decentralised Borrowing & Lending,Deployed,22,https://explorer.thegrid.id/profiles/Ensofi,https://data.thegrid.id/app/dashboard#profile=1300,Yes,https://img.thegrid.id/upload/e3b57d57aa46a734206a037d1049b92326d9d21bdc6017aea7b250b7ff920d01.png
Cubik,1301,Data & Analytics,Launch Pad,Supported,22,https://explorer.thegrid.id/profiles/Cubik,https://data.thegrid.id/app/dashboard#profile=1301,Yes,https://img.thegrid.id/upload/5564c1da263ad9ef08fa57c1142bf455eb0f3ff13e07ccdaa365660f708ce408.svg
DeCharge,1302,Infrastructure,DePin,Supported,22,https://explorer.thegrid.id/profiles/DeCharge,https://data.thegrid.id/app/dashboard#profile=1302,Yes,https://img.thegrid.id/upload/bc6247dfcddec510ad36bbaabb154479751910f05c664a316c415cc4fbd87f79.png
Solana Name Service,1303,Infrastructure,Decentralised Identity,Deployed,22,https://explorer.thegrid.id/profiles/Solana_Name_Service,https://data.thegrid.id/app/dashboard#profile=1303,Yes,https://img.thegrid.id/upload/98d02acf84bed24a0a3cb84e584511d00a26d10d1b8ea1813957c77442d06e90.svg
Copper,1305,Asset Management,Custodian,Supported,22,https://explorer.thegrid.id/profiles/Copper,https://data.thegrid.id/app/dashboard#profile=1305,Yes,https://img.thegrid.id/upload/a2615586056a64d32db35bdad41f81cdb8bf2336fc46f21dcdd9ee8f403a47bb.png
Anchorage Digital,1306,Asset Management,Custodian,Supported,22,https://explorer.thegrid.id/profiles/Anchorage_Digital,https://data.thegrid.id/app/dashboard#profile=1306,Yes,https://img.thegrid.id/upload/3eb2b2675d7796b28c2cf2aec730460bf238262e17fbdae4ac8dde042b8bff7c.svg
Fireblocks,1307,Asset Management,Custody Technology Provider,Supported,22,https://explorer.thegrid.id/profiles/Fireblocks,https://data.thegrid.id/app/dashboard#profile=1307,Yes,https://img.thegrid.id/upload/52971ff83aed014e645bf26d661c18c0c5b956eee5d00d8f35800d5f80beea2b.svg
Komainu,1308,Asset Management,Custodian,Supported,22,https://explorer.thegrid.id/profiles/Komainu,https://data.thegrid.id/app/dashboard#profile=1308,Yes,https://img.thegrid.id/upload/1a7fb4ca8ee7d79af7892a1f210fe03318d7ca090438c8384d4459b0d33684df.svg
Hex Trust,1312,Asset Management,Custodian,Supported,22,https://explorer.thegrid.id/profiles/Hex_Trust,https://data.thegrid.id/app/dashboard#profile=1312,Yes,https://img.thegrid.id/upload/abe48979de7c7971689d017477eb58ce1e7401e6eec63c9e87b2e30b937a65d4.svg
